"company_name","investor_name","round","announced_date","source","as_of"
"TME","Warner Music Group","Corporate Minority - II","2018-10-02","CB Insights","2026-09-09"
"TME","Spotify","Corporate Minority","2017-12-08","CB Insights","2026-09-09"
"TME","Coatue","Other Investors","","CB Insights","2026-09-09"
"TME","FJ Labs","Pre-Seed","2018-01-01","CB Insights","2026-09-09"
"TME","Sony Music Entertainment","Corporate Minority - II","2018-10-02","CB Insights","2026-09-09"
"Tencent Cloud","TusStar","Other Investors","","CB Insights","2026-09-09"
"Tesla","Technology Venture Partners","Series D","2007-05-11","CB Insights","2026-09-09"
"Tesla","Darwin Ventures","Other Investors","","CB Insights","2026-09-09"
"Tesla","Threshold Ventures","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","Threshold Ventures","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Khosla Ventures","Other Investors","","CB Insights","2026-09-09"
"Tesla","JPMorganChase","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","JPMorganChase","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","JPMorganChase","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","Elon Musk","Series A","2004-01-01","CB Insights","2026-09-09"
"Tesla","Elon Musk","Series B","2005-01-01","CB Insights","2026-09-09"
"Tesla","Elon Musk","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","Elon Musk","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Elon Musk","Series E","2009-01-01","CB Insights","2026-09-09"
"Tesla","Technology Partners","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Technology Partners","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","Nth Power","Other Investors","","CB Insights","2026-09-09"
"Tesla","Lux Capital","Other Investors","","CB Insights","2026-09-09"
"Tesla","Bay Area Equity Fund","Other Investors","","CB Insights","2026-09-09"
"Tesla","The Westly Group","Convertible Note","2008-11-02","CB Insights","2026-09-09"
"Tesla","Capricorn Investment Group","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","Capricorn Investment Group","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Capricorn Investment Group","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","Compass Technology Partners","Series A","2004-01-01","CB Insights","2026-09-09"
"Tesla","Compass Technology Partners","Series B","2005-01-01","CB Insights","2026-09-09"
"Tesla","Compass Technology Partners","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","Compass Technology Partners","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Compass Technology Partners","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","Valor Equity Partners","Series B","2005-01-01","CB Insights","2026-09-09"
"Tesla","Valor Equity Partners","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","Valor Equity Partners","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Valor Equity Partners","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","DBL Partners","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","DBL Partners","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","Fjord Capital Management","Series F","2009-09-14","CB Insights","2026-09-09"
"Tesla","Aabar","Series F","2009-09-14","CB Insights","2026-09-09"
"Tesla","SDL Capital","Other Investors","","CB Insights","2026-09-09"
"Tesla","Bigwood Capital","Other Investors","","CB Insights","2026-09-09"
"Tesla","New Energy Nexus","Other Investors","","CB Insights","2026-09-09"
"Tesla","Mercedes-Benz Group","Series E","2009-01-01","CB Insights","2026-09-09"
"Tesla","Mercedes-Benz Group","Series F","2009-01-01","CB Insights","2026-09-09"
"Tesla","VantagePoint Capital Partners","Series C","2006-01-01","CB Insights","2026-09-09"
"Tesla","VantagePoint Capital Partners","Series D","2007-01-01","CB Insights","2026-09-09"
"Tesla","VantagePoint Capital Partners","Convertible Note","2008-01-01","CB Insights","2026-09-09"
"Tesla","Draper Associates","Other Investors","","CB Insights","2026-09-09"
"Tesla","PIF","PIPE","2018-08-08","CB Insights","2026-09-09"
"Tesla","Tao Capital Partners","Series C","2006-05-22","CB Insights","2026-09-09"
"Tesla","Larry Page","Series C","2006-05-22","CB Insights","2026-09-09"
"Tesla","SpaceX","Acq - Rumored","2026-05-27","CB Insights","2026-09-09"
"Tesla","Bayshore Global Management","Series C","2006-05-22","CB Insights","2026-09-09"
"Tesla","Baillie Gifford","PIPE - II","2019-02-08","CB Insights","2026-09-09"
"Tesla","2080 Ventures","Other Investors","","CB Insights","2026-09-09"
"Teva","Berkshire Hathaway","Corporate Minority - P2P","2018-02-22","CB Insights","2026-09-09"
"UMC","ITIC","Other Investors","","CB Insights","2026-09-09"
"UMC","Black Marble Capital Management","Other Investors","","CB Insights","2026-09-09"
"UMC","Chipbond","Corporate Minority - P2P","2021-09-03","CB Insights","2026-09-09"
"Uber","Norwest","Other Investors","","CB Insights","2026-09-09"
"Uber","NEA","Series E","2015-02-18","CB Insights","2026-09-09"
"Uber","Kleiner Perkins","Series D","2014-06-06","CB Insights","2026-09-09"
"Uber","Menlo Ventures","Series B","2011-01-01","CB Insights","2026-09-09"
"Uber","Menlo Ventures","Series D","2014-01-01","CB Insights","2026-09-09"
"Uber","Darwin Ventures","Other Investors","","CB Insights","2026-09-09"
