name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
Superluminal,218,,series_b,2026-09,,2022,Boston,superluminalrx.com,"BVF Partners, RA Capital Management, Perceptive Advisors, Eli Lilly and Company, NVIDIA","cbi_org_id=1085554; matched on the $60M Series B in the headline (Superluminal Medicines); bare name Superluminal returns a Dutch C++ profiling-tools firm, a Michigan design shop and a London analytics startup",CB Insights,2026-09-08
Sushiro,,,,,,1984,Suita,akindo-sushiro.co.jp,,"cbi_org_id=272077; matched on the alternates list (conveyor-belt sushi chain, Japan); only funding on file is two buyouts (Unison 2007, Permira 2012), not VC rounds",CB Insights,2026-09-08
Tencent Cloud,,,,,,2013,Shenzhen,tencentcloud.com,,"cbi_org_id=649070; matched on the alternates list; cloud unit of Tencent (cbi_org_id=209494), so no funding or market cap of its own",CB Insights,2026-09-08
Terra Charge,195,,series_d,2024-12,,2010,Tokyo,terra-charge.co.jp,"Pegasus Tech Ventures, Osaka Gas, Aisin Seiki, Toho Gas, Kawamura Electric Industrial","cbi_org_id=155452; matched on HQ Japan against ""Japan's Terra Charge"" in the headline; CBI carries terra-charge.co.jp, not the terracharge.com on file; total_raised excludes the 2024 loan and 2025 debt facility",CB Insights,2026-09-08
Thermo Fisher Scientific,,,,,,2006,Waltham,thermofisher.com,,"cbi_org_id=436431; matched on name plus HQ Waltham MA; NYSE-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
Thyme Care,399,2000,series_e,2026-09,,2020,Nashville,thymecare.com,"Morgan Health, a16z Bio Health, CVS Health Ventures, Foresite Capital, Town Hall Ventures, Humana","cbi_org_id=794513; matched on website thymecare.com and on the $125M Series E at a $2B valuation in the headline",CB Insights,2026-09-08
Together AI,1330,8300,series_c,2026-07,,2022,San Francisco,together.ai,"Aramco Ventures, NVIDIA, General Catalyst, Salesforce Ventures, Lux Capital, Vista Equity Partners","cbi_org_id=1000833; matched on website together.ai",CB Insights,2026-09-08
Trelleborg,,,,,,1905,Trelleborg,trelleborg.com,,"cbi_org_id=126927; matched on name plus HQ Trelleborg, Sweden; Nasdaq Stockholm-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
Typewriter,56,,series_a,2026-09,,2022,Cambridge,typewritertx.com,"AN Venture Partners, RA Capital Management, ANRI, SBI Holdings, Gemseki","cbi_org_id=1156559; matched on the $56M Series A in the headline (Typewriter Therapeutics)",CB Insights,2026-09-08
UMC,,,,,,1980,Hsinchu,umc.com,,"cbi_org_id=385066; matched on Taiwan semiconductor foundry in the headline, picked from the alternates over six other UMCs (Utah HVAC, Bangladesh instruments, two Saudi clinics); NYSE/TWSE-listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
Visko,10,,seed,2026-09,,2025,San Francisco,visko.ai,Llama Ventures,"cbi_org_id=12963611; matched on the pre-seed round in the headline and on the Orbis-style live-model description (Visko Platform); sole round is a $10M pre-seed, Sept 2026",CB Insights,2026-09-08
Wetour Robotics,,,,,,2019,,wetourrobotics.com,,"cbi_org_id=11979313; matched on the exact name in the alternates plus the robotics sector; no funding rounds on file and CBI records no HQ city, only United States",CB Insights,2026-09-08
d-Matrix,429,2000,series_c,2025-11,,2019,Santa Clara,d-matrix.ai,"Bullhound Capital, Temasek, Triatomic Capital, EDBI, M12, QIA","cbi_org_id=762855; matched on website d-matrix.ai",CB Insights,2026-09-08
proteanTecs,241,,series_d,2025-09,,2017,Haifa,proteantecs.com,"IAG Capital Partners, Intel Capital, Arm, MediaTek, Samsung Catalyst, Siemens, Koch Disruptive Technologies","cbi_org_id=450715; matched on name plus the semiconductor-monitoring description and Haifa HQ; series_d recorded from the Sept 2025 $51M round, as the Mar 2026 Series D-II has no amount",CB Insights,2026-09-08
