"company_name","investor_name","round","announced_date","source","as_of"
"IonQ","NEA","Series A","2016-12-01","CB Insights","2026-09-09"
"IonQ","NEA","Series B","2017-01-01","CB Insights","2026-09-09"
"IonQ","NEA","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","GV","Series B","2017-07-26","CB Insights","2026-09-09"
"IonQ","GV","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Amazon","Series B","2017-07-26","CB Insights","2026-09-09"
"IonQ","Amazon","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Bosch Ventures","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Bosch Ventures","Series B - III","2020-06-16","CB Insights","2026-09-09"
"IonQ","Osage University Partners","Series B","2017-07-26","CB Insights","2026-09-09"
"IonQ","Osage University Partners","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","IQT","Other Investors","","CB Insights","2026-09-09"
"IonQ","Lockheed Martin","Series B - III","2020-06-16","CB Insights","2026-09-09"
"IonQ","Heights Capital Management","PIPE","2025-07-07","CB Insights","2026-09-09"
"IonQ","Duke Capital Partners","Other Investors","","CB Insights","2026-09-09"
"IonQ","Correlation Ventures","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Tao Capital Partners","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","WorldQuant Ventures","Other Investors","","CB Insights","2026-09-09"
"IonQ","Cota Capital","Other Investors","","CB Insights","2026-09-09"
"IonQ","Airbus Ventures","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Hewlett Packard Pathfinder","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Samsung Catalyst","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","Cambium Capital Partners","Series B - III","2020-06-16","CB Insights","2026-09-09"
"IonQ","Mubadala Capital","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","ACME Capital","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","A&E Investment","Series B - II","2019-10-22","CB Insights","2026-09-09"
"IonQ","dMY Technology Group III","Reverse Merger","2021-10-01","CB Insights","2026-09-09"
"IonQ","AWS Global Startup program","Other Investors","","CB Insights","2026-09-09"
"IonQ","Breakthrough Energy Catalyst","Other Investors","","CB Insights","2026-09-09"
"IonQ","AWS Next unicorn Program","Other Investors","","CB Insights","2026-09-09"
"IonQ","AWS GenAI BuildPad Program","Other Investors","","CB Insights","2026-09-09"
"IonQ","AWS Jumpstart Program","Other Investors","","CB Insights","2026-09-09"
"IonQ","SoftBank Vision Fund","Unattributed VC","2021-06-03","CB Insights","2026-09-09"
