name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
PsiQuantum,2370,7000,series_e,2025-09,,2015,Palo Alto,psiquantum.com,"Baillie Gifford|BlackRock|Temasek|Macquarie Capital|T. Rowe Price","cbi_org_id=492089; matched on website psiquantum.com; valuation upper bound of the $6-7B range at the 2025-09 Series E; the 2026-01 Series E - II is unpriced and the 2026-05 $100M is a pending federal award, not equity",CB Insights,2026-09-08
Quantum Systems,1940,8000,series_d,2026-07,635,2015,Gilching,quantum-systems.com,"Advent International|Airbus|Blackstone|Noteus Partners|Balderton Capital|Fidelity Investments","cbi_org_id=738233; matched on the $1.2B Series D of 2026-07 in the headline; valuation upper bound of the $6.8-8B range; HQ Germany, the name suggests nothing about geography",CB Insights,2026-09-08
Quintessent,59,,series_a,2026-08,23,2019,Goleta,quintessent.com,"Cycle Capital|Ciena|Osage University Partners|Sierra Ventures|M Ventures","cbi_org_id=478815; matched on the $40M Series A in the headline; the name lookup returned Quintessence, a Russian marketing firm (id 154102) - rejected, the right entity was in its alternates",CB Insights,2026-09-08
QumulusAI,,,,,41,2019,Atlanta,qumulusai.com,,"cbi_org_id=10389180; matched on name plus the AI-datacenter description in the headline; listed since the 2026-07 IPO, so market cap and VC round fields left blank; formerly Global Digital Holdings",CB Insights,2026-09-08
Raytheon,,,,,,1922,Waltham,raytheon.com,,"cbi_org_id=82385; matched on name plus the defense-radar subject of the headline; the headline's $603M is a B-52 radar CONTRACT, not a funding round, so no round recorded; merged into RTX in April 2020 and carries no separate market cap or headcount",CB Insights,2026-09-08
Reframe Systems,72,,series_a_ext,2026-08,,2021,Andover,reframe.systems,"Energy Impact Partners|Eclipse|VoLo Earth Ventures|RA Capital Management|MassMutual Ventures|UP Partners","cbi_org_id=1104504; matched on the $40M round in the headline (Series A - II, 2026-08); website on file was reframesystems.com but CBI carries reframe.systems - same company, the robotic-microfactory description matches the headline",CB Insights,2026-09-08
Revolution Medicines,226,,,,,2014,Redwood City,revmed.com,,"cbi_org_id=255053; matched on name plus the RAS-cancer therapeutics description behind the headline's FDA approval; listed, so market cap, headcount and VC round fields left blank; total_raised is pre-IPO venture only",CB Insights,2026-09-08
SB Energy,2400,50000,,,359,2019,Redwood City,sbenergy.com,"Ares Management|SoftBank Group|OpenAI|NVIDIA","cbi_org_id=505081; matched on name plus the SoftBank and OpenAI parties named in the headline; a SoftBank Group company, IPO pending as of 2026-08 at a $50B valuation; its rounds are Unattributed and Corporate Minority, which have no ROUND_STAGES equivalent, so stage and date are blank",CB Insights,2026-09-08
SK Telecom,,,,,,1984,Seoul,sktelecom.com,,"cbi_org_id=489319; matched on name plus the Korean telecom-AI subject of the headline; listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
SK hynix,,,,,,1983,Gyeonggi-do,skhynix.com,,"cbi_org_id=480790; matched on name plus the Korean memory-semiconductor subject of the headline; listed, so market cap, headcount and VC round fields left blank",CB Insights,2026-09-08
SandboxAQ,1450,5750,series_e,2025-04,,2021,Palo Alto,sandboxaq.com,"Google|NVIDIA|BNP Paribas|Ray Dalio|Horizon Kinetics","cbi_org_id=853732; matched on website sandboxaq.com; stage from the priced Series E - II of 2025-04; the 2026-06 $500M is a federal award and the 2025-07 $95M is a secondary, neither a priced VC round",CB Insights,2026-09-08
SiFive,765,3650,series_g,2026-04,,2015,Santa Clara,sifive.com,"Atreides Management|Apollo|NVIDIA|Point72 Asset Management|Sutter Hill Ventures|T. Rowe Price","cbi_org_id=30030; matched on website sifive.com",CB Insights,2026-09-08
Sila Nanotechnologies,1710,3300,series_h,2026-07,,2011,Alameda,silanano.com,"Atreides Management|Sutter Hill Ventures|8VC|Bessemer Venture Partners|Matrix Partners|T. Rowe Price","cbi_org_id=261830; matched on website silanano.com (CBI carries it as 'Sila'); valuation is the last priced one, the 2021-01 Series F at $3.3B - the 2026-07 Series H is unpriced",CB Insights,2026-09-08
Skild AI,2210,14000,series_c,2026-01,,2023,Pittsburgh,skild.ai,"SoftBank Group|Bezos Expeditions|Coatue|Sequoia Capital|Lightspeed|Samsung|NVentures","cbi_org_id=1198103; matched on website skild.ai",CB Insights,2026-09-08
Socure,898,5200,series_e_ext,2026-08,594,2012,Incline Village,socure.com,"Summit Partners|Goldman Sachs Alternatives|Wells Fargo|DocuSign","cbi_org_id=34608; matched on the $5.2B valuation in the headline, which is the 2026-08 Series E - II; the name lookup did not resolve and Socure was not in its alternates, so this came from the website socure.com",CB Insights,2026-09-08
Space Angel,1,,,,10,2020,Perth,spaceangel.io,Government of Western Australia,"cbi_org_id=961640; matched on the 2026-08 $1.24M Western Australia government grant, which is the A$1.75m of the headline, and on the Perth HQ; that grant is non-dilutive, so no round_stage or round_date; total_raised rounds to 1 (of $1.27M)",CB Insights,2026-09-08
Starcloud,446,2300,series_a_ext,2026-08,26,2024,Redmond,starcloud.com,"Manhattan West Asset Management|Benchmark|EQT|NVIDIA|Cisco|NFX|776 Capital","cbi_org_id=1131247; matched on website starcloud.com and the $250M round in the headline (Series A - II, 2026-08); valuation upper bound of the $2.05-2.3B range; formerly Lumen Orbit",CB Insights,2026-09-08
