name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
AIR Security,50,,seed,2026-09,,2026,Tel Aviv,air.security,"Greenoaks|Sequoia Capital|Swish Ventures|Netz Capital Management","cbi_org_id=12761569; matched on the $50M in the headline ($40M Seed VC - II 2026-09 plus $10M Seed VC); CBI lists the entity as ""AIR"", not ""AIR Security""; name lookup failed, resolved on the domain air.security; Israeli HQ, no headcount held",CB Insights,2026-09-08
Agentrys,24.5,,seed,2026-08,,2025,Austin,agentrys.ai,"Etna Labs|MediaTek Ventures","cbi_org_id=13043188; matched on the $24.5M in the headline ($19.1M seed 2026-08 plus $5.4M pre-seed); name lookup failed but the company sat in its own alternates; chip-design automation agrees with the headline; no headcount held",CB Insights,2026-09-08
Alibaba Cloud,,,,,,2009,Hangzhou,alibabacloud.com,,"cbi_org_id=451505; matched on website alibabacloud.com; a division of Alibaba (listed) - no separate market cap, and its only funding entries are internal transfers from Alibaba.com (2012 spinout, 2015 corporate minority), so no round recorded; CBI holds no total headcount for it",CB Insights,2026-09-08
Amazon Web Services,,,,,147736,2006,Seattle,aws.amazon.com,,"cbi_org_id=435275; matched on name plus the aws.amazon.com domain in the headline (amazonwebservices.com did not resolve); a division of Amazon (listed) - no separate market cap and CBI holds no funding rounds for it; headcount 147736 as of 2026-07 is AWS's own, not Amazon's",CB Insights,2026-09-08
Anthro Energy,52.3,,series_a,2024-02,,2021,San Jose,anthroenergy.com,"Collaborative Fund|Union Square Ventures|Emerson Collective|Energy Revolution Ventures|Voyager Ventures","cbi_org_id=829711; matched on website anthroenergy.com; total_raised is CBI's $52.3M and includes $25.1M of DOE grants; last equity round is the $20M Series A 2024-02; no total headcount held",CB Insights,2026-09-08
Anysphere,3370,29300,series_d,2025-11,,2022,San Francisco,anysphere.inc,"Accel|Coatue|Andreessen Horowitz|Thrive Capital|Google|NVIDIA|DST Global","cbi_org_id=1008095; matched on website cursor.com resolving to this entity (CBI stores the domain as anysphere.inc); only founded_year was needed - the rest is the extra CBI holds; valuation is the $29.3B upper bound of the Series D, the last priced equity round; CBI marks the company Acquired by SpaceX at $60B on 2026-08-14 and shows a rumored $2B at $50-52B in 2026-03, both unverified elsewhere, so neither is recorded as the valuation; no total headcount held",CB Insights,2026-09-08
Applied Intuition,1200,15000,series_f,2025-06,1530,2017,Mountain View,appliedintuition.com,"BlackRock|Kleiner Perkins|General Catalyst|Lux Capital|Fidelity Investments|Franklin Templeton|QIA","cbi_org_id=431232; matched on website appliedintuition.com; only founded_year was needed - the rest is the extra CBI holds",CB Insights,2026-09-08
Aranya,11,,seed,2026-07,7,2025,San Francisco,aranya.tech,"First Round Capital|Asylum Ventures|Founder Collective|Box|Vermilion Cliffs Ventures","cbi_org_id=11846215; matched on the $11M in the headline ($9M Seed VC 2026-07 plus $2M pre-seed) and on the bare-metal-to-AI-clusters description; name lookup failed and returned three namesakes - a Swedish IT firm (id 1398719) and Aranya Cloud Technologies of Kansas (id 10383146) both rejected",CB Insights,2026-09-08
Blue Voice,6,,seed,2026-08,21,2023,Boston,bluevoice.io,"Las Olas Venture Capital|SignalFire|Govtech Ventures|PAR Capital","cbi_org_id=9741000; matched on website bluevoice.io and on the $6M seed in the headline; the law-enforcement AI assistant agrees with the headline's ""Harvey for police officers""",CB Insights,2026-09-08
ByteDance,,550000,,,,2012,Beijing,bytedance.com,"KKR|Sequoia Capital|SoftBank|General Atlantic|Tiger Global Management|Carlyle|Primavera Capital Group","cbi_org_id=104527; matched on website bytedance.com; private, so the valuation stands - $550B from a 2026-02 rumored round, the most recent mark; total_raised left blank because CBI's history mixes secondaries, loans and valuation-change entries with primary rounds; last lettered round was the 2020-12 Series E, too stale to record as current stage; no total headcount held",CB Insights,2026-09-08
