"company_name","investor_name","round","announced_date","source","as_of"
"Bright Machines","Silicon Valley Bank","Debt","2022-10-31","CB Insights","2026-09-09"
"Bright Machines","Microsoft","Series C","2024-06-25","CB Insights","2026-09-09"
"Bright Machines","Lux Capital","Seed VC","2018-01-01","CB Insights","2026-09-09"
"Bright Machines","Hercules","Debt","2022-10-31","CB Insights","2026-09-09"
"Bright Machines","J.P. Morgan","Debt - II","2024-06-25","CB Insights","2026-09-09"
"Bright Machines","BlackRock","Series C","2024-06-25","CB Insights","2026-09-09"
"Bright Machines","BAM Elevate","Series A - III","2018-10-23","CB Insights","2026-09-09"
"Bright Machines","Jabil","Series C","2024-06-25","CB Insights","2026-09-09"
"Bright Machines","EDBI","Other Investors","","CB Insights","2026-09-09"
"Bright Machines","BMW i Ventures","Unattributed VC","2019-03-07","CB Insights","2026-09-09"
"Bright Machines","Eclipse","Seed VC - II","2018-01-01","CB Insights","2026-09-09"
"Bright Machines","Eclipse","Series A - II","2018-01-01","CB Insights","2026-09-09"
"Bright Machines","Eclipse","Series A - III","2018-01-01","CB Insights","2026-09-09"
"Bright Machines","Eclipse","Series B","2022-01-01","CB Insights","2026-09-09"
"Bright Machines","Eclipse","Series C","2024-01-01","CB Insights","2026-09-09"
"Bright Machines","Geodesic Capital","Series A - III","2018-10-23","CB Insights","2026-09-09"
"Bright Machines","Flex","Series A - III","2018-10-23","CB Insights","2026-09-09"
"Bright Machines","Shinhan Financial Group","Series C","2024-06-25","CB Insights","2026-09-09"
"Bright Machines","Ansa","Other Investors","","CB Insights","2026-09-09"
"Bright Machines","NVentures","Series C","2024-06-25","CB Insights","2026-09-09"
"Ethena","Lightspeed","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","F-Prime Capital","Series A","2024-12-01","CB Insights","2026-09-09"
"Ethena","Pantera Capital","Series A","2024-12-01","CB Insights","2026-09-09"
"Ethena","Brevan Howard Asset Management","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Polychain Capital","Series A","2024-12-01","CB Insights","2026-09-09"
"Ethena","Franklin Templeton","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","YZi Labs","Incubator/Accelerator","2024-01-01","CB Insights","2026-09-09"
"Ethena","YZi Labs","Series A - IV","2025-01-01","CB Insights","2026-09-09"
"Ethena","Hashed","Other Investors","","CB Insights","2026-09-09"
"Ethena","Insurtech Gateway","Other Investors","","CB Insights","2026-09-09"
"Ethena","Dragonfly Capital","Series A","2024-12-01","CB Insights","2026-09-09"
"Ethena","Dragonfly","Seed VC","2023-01-01","CB Insights","2026-09-09"
"Ethena","Dragonfly","Seed VC - II","2024-01-01","CB Insights","2026-09-09"
"Ethena","Castle Island Ventures","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Primitive Ventures","Other Investors","","CB Insights","2026-09-09"
"Ethena","Delphi Digital","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Gemini","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Wintermute","Other Investors","","CB Insights","2026-09-09"
"Ethena","LeadBlock Partners","Other Investors","","CB Insights","2026-09-09"
"Ethena","Arthur Hayes","Seed VC","2023-01-01","CB Insights","2026-09-09"
"Ethena","Arthur Hayes","Seed VC - II","2024-01-01","CB Insights","2026-09-09"
"Ethena","Bybit","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Huobi DeFiLabs","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Tioga Capital","Series A - V","2025-09-25","CB Insights","2026-09-09"
"Ethena","Kraken Ventures","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Hypersphere Ventures","Other Investors","","CB Insights","2026-09-09"
"Ethena","Nascent","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Deribit","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","InsurTech Gateway Australia","Other Investors","","CB Insights","2026-09-09"
"Ethena","OKX Ventures","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Mirana Ventures","Other Investors","","CB Insights","2026-09-09"
"Ethena","Maelstrom","Seed VC","2023-07-17","CB Insights","2026-09-09"
"Ethena","Tangent","Other Investors","","CB Insights","2026-09-09"
"Ethena","Wintermute Ventures","Seed VC - II","2024-02-16","CB Insights","2026-09-09"
"Ethena","Breed VC","Other Investors","","CB Insights","2026-09-09"
"Ethena","No Limit Holdings","Other Investors","","CB Insights","2026-09-09"
"Ethena","Mechanism Capital","Other Investors","","CB Insights","2026-09-09"
"Ethena","Franklin Templeton","Series A","2024-12-01","CB Insights","2026-09-09"
"Ethena","MEXC Ventures","Series A","2024-01-01","CB Insights","2026-09-09"
"Ethena","MEXC Ventures","Series A - II","2025-01-01","CB Insights","2026-09-09"
