name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
Genentech,,,,,18295,1976,South San Francisco,gene.com,,"cbi_org_id=90898; matched on the gene.com profile, South San Francisco HQ and the oncology/ADC focus in the headline; a Roche subsidiary since the 2009 acquisition, so no funding of its own and Roche's market cap is not attributed here",CB Insights,2026-09-08
General Intuition,453,6000,series_a,2026-06,35,2025,New York,generalintuition.com,"Valor Equity Partners, Point72 Ventures, General Catalyst, Khosla Ventures, Seven Seven Six",cbi_org_id=10512257; matched on website generalintuition.com; the $6B valuation and the Valor/Point72 investors both match the headline,CB Insights,2026-09-08
Guardio,167,1100,series_b_ext,2026-09,158,2018,Tel Aviv,guard.io,"ION Crossover Partners, Cerca Partners, Emerge Ventures, Union Tech Ventures, Vintage Investment Partners","cbi_org_id=813154; matched on the $40M Series B-II at a $1.1B valuation in the headline; the bare name first returned a Brazilian fleet-management firm (cbi_org_id=2599346), which was rejected",CB Insights,2026-09-08
HANMI Semiconductor,,,,,,1980,Incheon,hanmisemi.com,,cbi_org_id=1227569; matched on the semiconductor packaging-equipment business and the Korean HQ; listed (042700.KQ) so market cap and headcount are not carried by CBI and no VC round applies,CB Insights,2026-09-08
Hang Seng Bank,,,,,,1933,Central,hangseng.com,,"cbi_org_id=441445; matched on the Hong Kong retail-banking and wealth business in the headline; listed (0011.HK), so no market cap, headcount or round fields",CB Insights,2026-09-08
Humain,,,,,1049,2025,Riyadh,humain.ai,,"cbi_org_id=2140011; matched on the Saudi Arabia HQ naming ""Saudi AI firm"" in the headline plus the AI-infrastructure description; state-backed by PIF, and CBI carries no disclosed round amount",CB Insights,2026-09-08
ICEYE,1590,11541,series_f,2026-06,1064,2015,Espoo,iceye.com,"EQT, General Atlantic, TCV, QIA, Solidium, Tesi, Nokia, Lifeline Ventures",cbi_org_id=15476; matched on the Finland HQ and the SAR-satellite business in the headline,CB Insights,2026-09-08
Infineon,,,,,,1999,Neubiberg,infineon.com,,"cbi_org_id=267058; matched on the German power-semiconductor business, resolved from the ""Infineon Technologies"" alternate; listed (IFX.DE), so no market cap, headcount or round fields",CB Insights,2026-09-08
InspeCity,19,,series_a,2026-08,51,2022,Thane,inspecity.com,"Speciale Invest, Ashish Kacholia, Antler India, Antler Elevate, Shastra VC, Anicut Capital","cbi_org_id=1039671; matched on the $12M Series A against the headline's $10.5M (12.5% apart), corroborated by the India HQ and the Antler backing the headline names",CB Insights,2026-09-08
Instinct,325,2500,series_b,2026-08,,2025,San Francisco,instinct.co,"Benchmark, Index Ventures, Kleiner Perkins, Conviction Partners, Greenoaks","cbi_org_id=13043273; matched on the $2.5B valuation in the headline, which the Series B carries exactly; the headline's $350M is cumulative against CBI's $325M across seed, Series A and B. Four other companies named Instinct were rejected",CB Insights,2026-09-08
Itochu,,,,,,1858,Tokyo,itochu.co.jp,,"cbi_org_id=489097; matched on the Japanese general-trading business in the headline; listed (8001.T), so no market cap, headcount or round fields",CB Insights,2026-09-08
Jollibee Foods Corp.,,,,,,1978,Pasig City,jollibee.com.ph,,"cbi_org_id=389723; matched on the PSE:JFC ticker in the CBI description; listed (JFC.PS), so no market cap, headcount or round fields",CB Insights,2026-09-08
KKR,,,,,,1976,New York,kkr.com,,"cbi_org_id=303320; resolves as an investor profile (investorType Private Equity), matched on the kkr.com domain and the New York HQ; an investor, so it has no funding rounds of its own, and as an NYSE-listed firm no market cap or headcount from CBI",CB Insights,2026-09-08
Ki 13,6,,seed,2026-09,12,2022,London,ki-13.com,"HICO Investment Group, Desai Ventures, SFC Capital, Burgest, Triple Impact Ventures, GiTV",cbi_org_id=1024981; matched on the $5M seed in the headline; the synthetic-fuel business also matches,CB Insights,2026-09-08
Lam Research,,,,,,1980,Fremont,lamresearch.com,,"cbi_org_id=159247; matched on the semiconductor-equipment business and the California HQ near the Oregon lab in the headline; listed (LRCX), so no market cap, headcount or round fields",CB Insights,2026-09-08
Lambda,5570,2500,series_e,2025-11,772,2012,San Jose,lambda.ai,"TWG Global, US Innovative Technology Fund, Andra Capital, SGW, Mubadala Capital",cbi_org_id=751882; matched on website lambda.ai,CB Insights,2026-09-08
LeoLabs,115,,series_c,2024-02,154,2016,Menlo Park,leolabs.space,"Insight Partners, Velvet Sea Ventures, Space Capital, GP BullHound, Airbus Ventures, Horizons Ventures","cbi_org_id=60528; matched on the space-domain-awareness business and the Space Force customer in the headline; the $20.68M Space Force award is a contract, not a funding round, and is not recorded as one",CB Insights,2026-09-08
