name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
Lightmatter,822,4400,series_d,2024-10,,2017,Mountain View,lightmatter.co,"T. Rowe Price, Fidelity Investments, GV, Viking Global Investors",cbi_org_id=144850; matched on website lightmatter.co; valuation $4.4B from the Oct 2024 Series D,CB Insights,2026-09-08
Lyte,272,1600,series_c,2026-09,,2021,Sunnyvale,lyte.ai,"Maverick Silicon, Atreides Management, Fidelity Investments, Key1 Capital, Ora Global","cbi_org_id=11519119; matched on the $165M Series C at $1.6B in the headline (2026-09-02); five entities share the name Lyte, the connector's default was a Singapore commission-advance fintech",CB Insights,2026-09-08
Marvell,,,,,,1995,Santa Clara,marvell.com,,"cbi_org_id=57153; matched on the Marvell alternate carrying marvell.com and IPO status (""Marvell Technology"" did not resolve); listed, so funding and market cap left blank",CB Insights,2026-09-08
MatX,605,7000,series_b,2026-02,,2023,Mountain View,matx.com,"Jane Street Group, Situational Awareness, Spark Capital, Triatomic Capital","cbi_org_id=1096542; matched on website matx.com; valuation $7B from the Feb 2026 Series B, a later rumored round marks it down to $4B",CB Insights,2026-09-08
Meissner,3,,seed,2026-09,,2025,Toronto,meissnermaterials.com,"Thrive Venture Fund for Women, Anthony Lacavera, Christian Weedbrook, Daniel Debow, Michael Hyatt","cbi_org_id=12147351; matched on the $2.6M in the headline (pre-seed 2026-09-01) plus the superconducting-materials description; the connector's default Meissner was a 1984 Camarillo filtration firm",CB Insights,2026-09-08
MiniMax,,4184,series_c,2025-07,,2022,Xuhui,minimaxi.com,"Shanghai STVC Group, Alibaba.com, IDG Capital, Boyu Capital, ADIA","cbi_org_id=1106132; matched on the Chinese multi-modal AI lab description plus Shanghai HQ in the headline; IPO'd Jan 2026 so total_raised left blank, valuation $4.18B is the last private round (Jul 2025 Series C)",CB Insights,2026-09-08
Moon Surgical,92,,series_b,2023-05,,2019,Paris,moonsurgical.com,"NVentures, Sofinnova Partners, Cathay Capital, GT Healthcare Capital Partners, Johnson & Johnson Innovation",cbi_org_id=561924; matched on website moonsurgical.com; no valuation disclosed on any round,CB Insights,2026-09-08
Neros Technologies,371,2500,series_c,2026-08,,2023,El Segundo,neros.tech,"American Strategic Technology Fund, Sequoia Capital, Allen & Company, Valor Equity Partners, Thiel Capital",cbi_org_id=1163966; matched on website neros.tech; valuation is the $2.25-2.5B range on the Aug 2026 Series C,CB Insights,2026-09-08
Nexthop AI,610,4200,series_b,2026-03,,2024,Santa Clara,nexthop.ai,"Andreessen Horowitz, Lightspeed, Altimeter Capital, Kleiner Perkins, Battery Ventures",cbi_org_id=10243742; matched on website nexthop.ai; valuation $4.2B from the Mar 2026 Series B,CB Insights,2026-09-08
Noah Medical,150,1120,,2024-02,,2018,San Carlos,noahmed.com,"Prosperity7 Ventures, SoftBank, Aramco Ventures, Hillhouse Investment, HongShan","cbi_org_id=912458; matched on website noahmed.com; valuation $1-1.12B from the Feb 2024 unattributed VC round, round_stage blank as unattributed VC has no ROUND_STAGES equivalent",CB Insights,2026-09-08
Owner,419,2300,series_d,2026-08,,2018,Palo Alto,owner.com,"Goldman Sachs Alternatives, Headline, Meritech Capital Partners, Redpoint Ventures","cbi_org_id=785009; matched on website owner.com plus the restaurant-software description; valuation $2.3B from the Aug 2026 Series D",CB Insights,2026-09-08
PDD Holdings,,,,,,2015,Shanghai,pinduoduo.com,,"cbi_org_id=100181; matched on the Pinduoduo alternate, PDD Holdings' operating entity (""PDD Holdings"" did not resolve and the ""PDD Group"" alternate is an unrelated London design consultancy); listed, so funding and market cap left blank",CB Insights,2026-09-08
Pasqal,539,2000,,2026-08,,2019,Palaiseau,pasqal.com,"Bleichroeder Acquisition II, CMA CGM, LG Electronics, Bpifrance Large Venture, Quanta Computer","cbi_org_id=492237; matched on website pasqal.com; valuation $2B from the Aug 2026 reverse merger that took it public, round_stage blank as reverse merger has no ROUND_STAGES equivalent",CB Insights,2026-09-08
Physical Intelligence,1070,11000,,2026-03,,2024,San Francisco,pi.website,"Founders Fund, Lightspeed, Lux Capital, Thrive Capital, CapitalG","cbi_org_id=1153997; matched on the robotics-foundation-model description plus 2024 SF founding (CBI holds pi.website, not physicalintelligence.company); valuation $11B is from a rumored Mar 2026 round so round_stage left blank, last confirmed priced round is the Nov 2025 Series B at $5-5.6B",CB Insights,2026-09-08
Ping An Digital,,,,,,,Shenzhen,pingan.com,,"UNRESOLVED as a separate entity: a digital banking unit of Ping An Insurance Group (cbi_org_id=228707, Shenzhen, founded 1988). CB Insights carries no Ping An Digital profile; the nearest entities are the parent and the separately listed Ping An Bank (cbi_org_id=342380), neither of which is this unit. Parent figures deliberately not attributed",CB Insights,2026-09-08
Prysmian,,,,,,1879,Milan,prysmian.com,,"cbi_org_id=351834; matched on the Milan cable maker profile plus the South Carolina manufacturing footprint in the headline; listed (PRY.MI), so funding and market cap left blank",CB Insights,2026-09-08
