company_name,investor_name,round,announced_date,source,as_of
"Alibaba Cloud","Alibaba.com","Spinoff / Spinout","2012-09-21","CB Insights","2026-09-09"
"Alibaba Cloud","Alibaba.com","Corporate Minority","2015-07-29","CB Insights","2026-09-09"
"BYD","Sequoia Capital","PIPE - III","2021-02-18","CB Insights","2026-09-09"
"BYD","Samsung","PIPE - II","2016-07-21","CB Insights","2026-09-09"
"BYD","Hillhouse Investment","PIPE - III","2021-02-18","CB Insights","2026-09-09"
"BYD","China Investment","PIPE - III","2021-02-18","CB Insights","2026-09-09"
"BYD","Berkshire Hathaway Energy","PIPE","2008-09-29","CB Insights","2026-09-09"
"BYD","Al Futtaim","PIPE - IV","2025-03-07","CB Insights","2026-09-09"
"BitGo","Founders Fund","Series A","2014-06-16","CB Insights","2026-09-09"
"BitGo","Goldman Sachs","Series B - II","2018-10-25","CB Insights","2026-09-09"
"BitGo","Bain Capital Ventures","Other Investors","","CB Insights","2026-09-09"
"BitGo","Radar Partners","Series A","2014-06-16","CB Insights","2026-09-09"
"BitGo","Bridgescale Partners","Series A","2014-01-01","CB Insights","2026-09-09"
"BitGo","Bridgescale Partners","Series B","2017-01-01","CB Insights","2026-09-09"
"BitGo","Bridgescale Partners","Series B - II","2018-01-01","CB Insights","2026-09-09"
"BitGo","Bridgescale Partners","Unattributed VC","2019-01-01","CB Insights","2026-09-09"
"BitGo","Bridgescale Partners","Unattributed VC - II","2022-01-01","CB Insights","2026-09-09"
"BitGo","Redpoint Ventures","Series A","2014-01-01","CB Insights","2026-09-09"
"BitGo","Redpoint Ventures","Series B - II","2018-01-01","CB Insights","2026-09-09"
"BitGo","Redpoint Ventures","Unattributed VC","2019-01-01","CB Insights","2026-09-09"
"BitGo","Redpoint Ventures","Unattributed VC - II","2022-01-01","CB Insights","2026-09-09"
"BitGo","Eric Hahn","Series A","2014-06-16","CB Insights","2026-09-09"
"BitGo","SK Telecom","Corporate Minority - II","2024-09-02","CB Insights","2026-09-09"
"BitGo","Valor Equity Partners","Series B","2017-01-01","CB Insights","2026-09-09"
"BitGo","Valor Equity Partners","Series B - II","2018-01-01","CB Insights","2026-09-09"
"BitGo","David Sacks","Series B","2017-12-11","CB Insights","2026-09-09"
"BitGo","Bill Lee","Series A","2014-01-01","CB Insights","2026-09-09"
"BitGo","Bill Lee","Series B","2017-01-01","CB Insights","2026-09-09"
"BitGo","A-Grade","Series A","2014-06-16","CB Insights","2026-09-09"
"BitGo","The Brink's Company","Corporate Minority","2024-01-24","CB Insights","2026-09-09"
"BitGo","Hana Financial Group","Corporate Minority - II","2024-09-02","CB Insights","2026-09-09"
"BitGo","Texas Ventures","Other Investors","","CB Insights","2026-09-09"
