company_name,round,announced_date,amount_usd,valuation_usd,source,as_of
Anduril Industries,Funding - Rumored,2026-07-24,,100000000000,CB Insights,2026-08-27
Anduril Industries,Series H,2026-05-01,5000000000,61000000000,CB Insights,2026-08-27
Anduril Industries,Corporate Minority,2025-12-16,30000000,,CB Insights,2026-08-27
Anduril Industries,Secondary Market,2025-06-11,,,CB Insights,2026-08-27
Anduril Industries,Series G,2025-06-05,2500000000,30500000000,CB Insights,2026-08-27
Anduril Industries,Incubator/Accelerator - II,2025-01-29,,,CB Insights,2026-08-27
Anduril Industries,Series F,2024-08-07,1500000000,14000000000,CB Insights,2026-08-27
Anduril Industries,Series E - II,2023-12-01,525000000,11460000000,CB Insights,2026-08-27
Anduril Industries,Series E,2022-12-01,1480000000,8480000000,CB Insights,2026-08-27
Anduril Industries,Series D,2021-06-17,450000000,4600000000,CB Insights,2026-08-27
Anduril Industries,Series C,2020-07-01,200000000,1900000000,CB Insights,2026-08-27
Anduril Industries,Series B,2019-09-11,126599998,1026599976,CB Insights,2026-08-27
Castelion,Series C,2026-08-19,800000000,13000000000,CB Insights,2026-08-27
Castelion,Line of Credit,2026-08-19,250000000,,CB Insights,2026-08-27
Castelion,Series B,2025-07-04,350000000,2800000000,CB Insights,2026-08-27
Castelion,Debt,2025-01-29,30000000,,CB Insights,2026-08-27
Castelion,Series A,2025-01-29,70000000,,CB Insights,2026-08-27
Castelion,Seed VC,2023-10-05,14200000,,CB Insights,2026-08-27
Castelion,Pre-Seed,2023-04-21,5410000,,CB Insights,2026-08-27
Castelion,Other Investors,,,,CB Insights,2026-08-27
Crusoe,Funding - Rumored,2026-07-02,3000000000,30000000000,CB Insights,2026-08-27
Crusoe,Debt - III,2026-02-20,300000000,,CB Insights,2026-08-27
Crusoe,Series E,2025-10-21,1380000000,10000000000,CB Insights,2026-08-27
Crusoe,Line of Credit - IV,2025-08-25,175000000,,CB Insights,2026-08-27
Crusoe,Line of Credit - III,2025-06-11,750000000,,CB Insights,2026-08-27
Crusoe,Line of Credit - II,2025-03-27,225000000,,CB Insights,2026-08-27
Crusoe,Series D,2024-11-20,600000000,2800000000,CB Insights,2026-08-27
Crusoe,Debt - II,2023-12-05,192419998,,CB Insights,2026-08-27
Crusoe,Debt,2023-10-23,200000000,,CB Insights,2026-08-27
Crusoe,Unattributed,2022-06-02,,,CB Insights,2026-08-27
Crusoe,Line of Credit,2022-04-21,155000000,,CB Insights,2026-08-27
Crusoe,Series C,2022-04-21,350000000,1750000000,CB Insights,2026-08-27
Field AI,Corporate Minority,2026-02-09,,,CB Insights,2026-08-27
Field AI,Series A,2025-08-20,314000000,2000000000,CB Insights,2026-08-27
Field AI,Unattributed,2024-04-30,,,CB Insights,2026-08-27
Field AI,Other Investors,,,,CB Insights,2026-08-27
Fireworks AI,Series D,2026-07-16,1505000000,17500000000,CB Insights,2026-08-27
Fireworks AI,Secondary Market,2025-10-28,20000000,4000000000,CB Insights,2026-08-27
Fireworks AI,Series C,2025-10-28,230000000,4000000000,CB Insights,2026-08-27
Fireworks AI,Series B,2024-07-08,52000000,552000000,CB Insights,2026-08-27
Fireworks AI,Series A,2022-01-01,25000000,,CB Insights,2026-08-27
Fireworks AI,Incubator/Accelerator,,,,CB Insights,2026-08-27
Lambda,Loan,2026-08-12,926000000,,CB Insights,2026-08-27
Lambda,Line of Credit - III,2026-05-07,1000000000,,CB Insights,2026-08-27
Lambda,Funding - Pending,2026-01-09,350000000,,CB Insights,2026-08-27
Lambda,Series E,2025-11-18,1500000000,,CB Insights,2026-08-27
Lambda,IPO - Rumored,2025-09-11,,,CB Insights,2026-08-27
Lambda,Line of Credit - II,2025-08-19,275000000,,CB Insights,2026-08-27
Lambda,Series D,2025-02-19,480000000,2500000000,CB Insights,2026-08-27
Lambda,Secondary Market,2025-01-15,,,CB Insights,2026-08-27
Lambda,Line of Credit,2024-04-04,,,CB Insights,2026-08-27
Lambda,Series C,2024-02-15,320000000,1500000000,CB Insights,2026-08-27
Lambda,Series B,2022-11-17,44000000,224000000,CB Insights,2026-08-27
